step,baseline,ood,ood_enhance,iid_v3
1000,0.3170731707317073,0.4878048780487805,0.5526315789473685,0.5
2000,0.3170731707317073,0.3902439024390244,0.5789473684210527,0.631578947368421
3000,0.3902439024390244,0.7317073170731707,0.631578947368421,0.7368421052631579
4000,0.36585365853658536,0.7073170731707317,0.7368421052631579,0.8157894736842105
5000,0.3170731707317073,0.5609756097560976,0.7368421052631579,0.8421052631578947
6000,0.4146341463414634,0.6341463414634146,0.5789473684210527,0.7105263157894737
7000,0.3902439024390244,0.5853658536585366,0.7631578947368421,0.8157894736842105
8000,0.4634146341463415,0.7317073170731707,0.7368421052631579,0.7894736842105263
9000,0.3170731707317073,0.6585365853658537,0.7894736842105263,0.7105263157894737
10000,0.3902439024390244,0.6829268292682927,0.7894736842105263,0.8157894736842105
11000,0.4146341463414634,0.6585365853658537,0.7368421052631579,0.7631578947368421
12000,,0.7073170731707317,0.7368421052631579,0.7631578947368421
13000,,0.6829268292682927,0.8157894736842105,0.8157894736842105
14000,,0.7317073170731707,0.7105263157894737,0.8157894736842105
15000,,0.7073170731707317,0.7368421052631579,0.7631578947368421
16000,,0.7317073170731707,0.7894736842105263,0.8421052631578947
17000,,0.7804878048780488,0.7894736842105263,0.7894736842105263
18000,,0.7560975609756098,0.7631578947368421,0.7894736842105263
19000,,0.8048780487804879,0.8157894736842105,0.7631578947368421
20000,,0.7804878048780488,0.8421052631578947,0.7105263157894737
21000,,0.7560975609756098,0.8421052631578947,0.8157894736842105
22000,,0.7804878048780488,0.8157894736842105,0.8157894736842105
23000,,0.7804878048780488,0.7894736842105263,0.868421052631579
24000,,0.8048780487804879,0.7894736842105263,0.8421052631578947
25000,,0.8048780487804879,,0.7894736842105263
26000,,,,0.8157894736842105
27000,,,,0.8157894736842105
28000,,,,0.8157894736842105
29000,,,,0.8157894736842105
30000,,,,0.8157894736842105
31000,,,,0.8157894736842105
32000,,,,0.8421052631578947
33000,,,,0.8421052631578947
34000,,,,0.868421052631579
35000,,,,0.8157894736842105
36000,,,,0.7894736842105263
37000,,,,0.8421052631578947
38000,,,,0.8421052631578947
39000,,,,0.8421052631578947
40000,,,,0.8421052631578947
41000,,,,0.8421052631578947
42000,,,,0.8421052631578947
43000,,,,0.8157894736842105
44000,,,,0.8421052631578947
45000,,,,0.868421052631579
46000,,,,0.8421052631578947
47000,,,,0.8421052631578947
