step,baseline,ood,ood_enhance,iid_v3
1000,0.059371058740151306,0.10494953767296314,0.11502035234727569,0.12304955713966932
2000,0.06407212469732461,0.12106652654329361,0.1489754809720186,0.13712405417361923
3000,0.04931585192217852,0.15113703305320386,0.2920351779555794,0.198596662576594
4000,0.07269901772379442,0.30425402217689074,0.2595213573022543,0.24057611836556372
5000,0.07416589760763907,0.31351872299067646,0.262155471139035,0.3221160785345934
6000,0.04395839463777258,0.38216115446557547,0.3067860198248134,0.3622686692298713
7000,0.06507694584830345,0.3473005915470216,0.34682577389188285,0.3405416979851602
8000,0.07693180387466059,0.4099611872280314,0.36550209922905874,0.37825800934350784
9000,0.06035861093537991,0.3744266089347629,0.440065951892631,0.39733693897733097
10000,0.060762375421835074,0.40318697666425185,0.4042509637175468,0.3457000811210573
11000,0.0627694309463904,0.42773724859775286,0.3796331792578995,0.39584243208512365
12000,,0.4185010122832756,0.4267226353200748,0.4040575014141505
13000,,0.37801151301112945,0.4361726980956275,0.44516397689336207
14000,,0.44045701208191596,0.43633639234394744,0.43896904303225803
15000,,0.4607203331388762,0.4582520199842511,0.4459298368509189
16000,,0.5192860682375187,0.4856280806166101,0.46536623410418376
17000,,0.5381587425813086,0.5120422387938957,0.46370848360014333
18000,,0.4957423482014429,0.4935075686673328,0.467672021945689
19000,,0.5622625959011484,0.510965040549331,0.46784837815859615
20000,,0.5515501948553614,0.4997102682363788,0.4672184125650074
21000,,0.5408987757676657,0.5267950887570695,0.4723620590407334
22000,,0.5525902411371595,0.45547053326189285,0.48114586924087543
23000,,0.5874417993832453,0.49280404899980457,0.4773649306885628
24000,,0.5675426298388303,0.5010545809410427,0.5186983189829353
25000,,0.6032969990112393,,0.48898485242387923
26000,,,,0.5479851936656998
27000,,,,0.5325891950207051
28000,,,,0.5444329340131363
29000,,,,0.5172310621166493
30000,,,,0.533878568736102
31000,,,,0.5435436264383384
32000,,,,0.5504964325240286
33000,,,,0.5317385947375505
34000,,,,0.5386807976438835
35000,,,,0.5148465926386643
36000,,,,0.5697304185433634
37000,,,,0.5617227330925256
38000,,,,0.5556925576852491
39000,,,,0.5623788136776187
40000,,,,0.5683628098890419
41000,,,,0.5506535289870751
42000,,,,0.5787595274122345
43000,,,,0.5537730381971046
44000,,,,0.5515337897695769
45000,,,,0.5438773283198308
46000,,,,0.5698161997701607
47000,,,,0.5540127133554356
