step,baseline,ood,ood_enhance,iid_v3
1000,0.3209175956330276,0.19938462571553842,0.22629193625414834,0.22810260268218488
2000,0.3768224755261676,0.23326309093864953,0.2692356479692171,0.23298231119646126
3000,0.46986476318860865,0.38037260580914783,0.3841578007334081,0.42006387960396724
4000,0.5562452716477422,0.4787311846371161,0.42408532597866533,0.4293090871045515
5000,0.5382889174399087,0.41127054759386544,0.47437374030668517,0.4780979825653683
6000,0.5314656490752996,0.47402223082146944,0.47698284534128166,0.48305628905329057
7000,0.5699238676670753,0.5202342934015634,0.511322202568284,0.47417904263899985
8000,0.582301258906168,0.5526313990102928,0.5236397820032097,0.47404769645736133
9000,0.6027939794924977,0.5089264424967973,0.5663705801440212,0.5350281959913792
10000,0.6559013596829992,0.5651843294595886,0.5488951309739286,0.5146266202736176
11000,0.6519165021546791,0.6174400991545794,0.5581491082271507,0.5036319980907246
12000,,0.5612323592132257,0.5894597205249221,0.5774320508595271
13000,,0.5767361354798322,0.5834715509974985,0.5390079146978244
14000,,0.5545263607950559,0.5593675345486948,0.5985848980739421
15000,,0.5871033301896685,0.576628242326919,0.5534653823845682
16000,,0.5998856826893604,0.5911151036137213,0.6074372039886071
17000,,0.610372707614091,0.6052258097568489,0.6087667490903557
18000,,0.6217280018700491,0.5941626125461633,0.6295118051305819
19000,,0.6358959498211995,0.6403625734950846,0.6303381852693325
20000,,0.6088483616852259,0.6170578933048697,0.5333449402756254
21000,,0.6128658713571047,0.6169106190348683,0.5808910813155435
22000,,0.6035296590857399,0.6331274800635953,0.6114088112255476
23000,,0.6443272075327987,0.6343543281689472,0.6186753928293226
24000,,0.6328028719773814,0.6026858882084863,0.6190933525345984
25000,,0.6327601743369463,,0.6443006811864127
26000,,,,0.6123485530933537
27000,,,,0.6155508476605597
28000,,,,0.6366775217683533
29000,,,,0.6309063373295913
30000,,,,0.6603816912620998
31000,,,,0.6726057797608945
32000,,,,0.6680570764089658
33000,,,,0.6671401093666899
34000,,,,0.6325966870696877
35000,,,,0.6312462004013638
36000,,,,0.6609354974438496
37000,,,,0.688123620623485
38000,,,,0.6728830786489145
39000,,,,0.6738649589108021
40000,,,,0.6591167454455668
41000,,,,0.6691685253194142
42000,,,,0.6690382233447631
43000,,,,0.6464727357410014
44000,,,,0.6715834728742598
45000,,,,0.6737036687025657
46000,,,,0.6641462208175263
47000,,,,0.6660050272392098
