step,baseline,ood,ood_enhance,iid_v3
1000,0.2875540871396063,0.2470718021427335,0.26568246653488026,0.26009659073663854
2000,0.39314866402852644,0.25507405192189114,0.24300273835931524,0.32198955238166255
3000,0.4177199907902919,0.3775336357765227,0.40428817609188356,0.36564564734849375
4000,0.565915856824441,0.45463654947322213,0.4224460530892077,0.39973854903719364
5000,0.555437654599154,0.4227598616065948,0.4524241434543058,0.49592987579620224
6000,0.5749257815445277,0.4747749318203555,0.4484412148462933,0.45759642823423746
7000,0.6078751664769103,0.49883364506452393,0.4755877319009722,0.47186770414011187
8000,0.5950582727522324,0.5096478776664125,0.5010686093274087,0.48960611538870424
9000,0.6299254757904749,0.47699970449761453,0.5087802619026566,0.5017389076715868
10000,0.6244719451065237,0.5504476797872999,0.5238703599239999,0.5373448190350348
11000,0.6531685886173103,0.5481419571466496,0.5666925221427291,0.5905021743818009
12000,,0.5614302352235587,0.5336367964854108,0.5525977963253106
13000,,0.5865531353952526,0.569759449341084,0.5208749588299684
14000,,0.6060557749365642,0.5718620462731663,0.5672373816319703
15000,,0.5946370407585908,0.5592377894360956,0.5020689432372006
16000,,0.5910568479285323,0.5938799761207069,0.5936571083618618
17000,,0.591737102023302,0.6219941620357721,0.5971266630880567
18000,,0.593607194108985,0.6253528502869615,0.6335170599310803
19000,,0.6081235051856746,0.6189751624485195,0.5666177434796622
20000,,0.6160327117667476,0.5877726109231616,0.6318375287209475
21000,,0.5975339401144669,0.5892434061918549,0.6034837359994089
22000,,0.6287789524997643,0.6073214957613898,0.6023140787820938
23000,,0.6467284119240397,0.5818446832751889,0.6243807647911411
24000,,0.6420378779938639,0.6359818585276789,0.6224781727882099
25000,,0.6480282188417604,,0.6109180342430797
26000,,,,0.6037276616148821
27000,,,,0.6626121364133443
28000,,,,0.6743335936585353
29000,,,,0.6958140589610297
30000,,,,0.6892617945607991
31000,,,,0.6677954601222096
32000,,,,0.6720899254236374
33000,,,,0.6389970076221219
34000,,,,0.7122362997590278
35000,,,,0.6729922716442583
36000,,,,0.6642573972499113
37000,,,,0.6963835949373918
38000,,,,0.6732265403237256
39000,,,,0.6914579528809688
40000,,,,0.6908962427507995
41000,,,,0.6778206530128987
42000,,,,0.6857057129161851
43000,,,,0.6781723900191682
44000,,,,0.6927284644047466
45000,,,,0.697982357706489
46000,,,,0.6765986931428462
47000,,,,0.687550366601823
